1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
797	-0.767754	-0.773556	0.029007	24.944209	0.310001	0.124093	0.011192	0.123944	7	47	55
798	-0.763820	-0.769422	0.028011	25.942738	0.303407	0.111417	0.010838	0.110999	14	87	102
799	-0.788613	-0.794474	0.029306	24.991237	0.309684	0.117776	0.011413	0.117593	28	143	171
800	-0.776710	-0.782598	0.029441	24.039737	0.316227	0.108431	0.011431	0.108306	10	45	56
801	-0.791130	-0.797287	0.030783	25.039737	0.309358	0.096833	0.011918	0.096830	6	52	59
802	-0.773087	-0.779102	0.030075	26.039735	0.302782	0.092843	0.011563	0.092566	7	42	50
803	-0.762506	-0.768517	0.030053	25.088636	0.309030	0.134988	0.011708	0.134727	7	51	59
804	-0.762482	-0.768258	0.028884	24.137135	0.315544	0.105014	0.011085	0.105057	6	42	49
805	-0.778584	-0.784303	0.028595	25.137135	0.308705	0.109057	0.010975	0.109040	6	48	55
806	-0.751378	-0.757273	0.029473	24.185873	0.315204	0.121603	0.011395	0.121156	7	41	49
807	-0.758979	-0.764940	0.029805	25.185873	0.308379	0.098092	0.011522	0.097824	7	50	57
808	-0.771864	-0.777794	0.029655	24.234372	0.314866	0.100723	0.011449	0.100725	6	42	49
809	-0.766449	-0.772472	0.030113	24.237737	0.314843	0.106709	0.011583	0.106556	6	48	56
810	-0.787338	-0.793178	0.029199	24.722794	0.311503	0.114712	0.011126	0.114544	7	41	49
811	-0.785463	-0.791561	0.030493	23.771303	0.318123	0.118475	0.011790	0.118256	6	47	54
